seed,episode,policy,return_value
297,15,reference,70.0
297,15,learned_model,70.0
297,16,reference,83.0
297,16,learned_model,83.0
297,17,reference,74.0
297,17,learned_model,74.0
297,18,reference,231.0
297,18,learned_model,229.0
297,19,reference,120.0
297,19,learned_model,117.0
308,0,reference,195.0
308,0,learned_model,192.0
308,1,reference,186.0
308,1,learned_model,185.0
308,2,reference,286.0
308,2,learned_model,281.0
308,3,reference,181.0
308,3,learned_model,181.0
308,4,reference,82.0
308,4,learned_model,81.0
308,5,reference,270.0
308,5,learned_model,264.0
308,6,reference,253.0
308,6,learned_model,253.0
308,7,reference,302.0
308,7,learned_model,299.0
308,8,reference,69.0
308,8,learned_model,69.0
308,9,reference,195.0
308,9,learned_model,195.0
308,10,reference,66.0
308,10,learned_model,64.0
308,11,reference,133.0
308,11,learned_model,133.0
308,12,reference,176.0
308,12,learned_model,176.0
308,13,reference,254.0
308,13,learned_model,254.0
308,14,reference,130.0
308,14,learned_model,130.0
308,15,reference,78.0
308,15,learned_model,75.0
308,16,reference,145.0
308,16,learned_model,145.0
308,17,reference,180.0
308,17,learned_model,178.0
308,18,reference,151.0
308,18,learned_model,149.0
308,19,reference,236.0
308,19,learned_model,279.0
319,0,reference,111.0
319,0,learned_model,111.0
319,1,reference,376.0
319,1,learned_model,378.0
319,2,reference,99.0
319,2,learned_model,99.0
319,3,reference,330.0
319,3,learned_model,242.0
319,4,reference,84.0
319,4,learned_model,82.0
319,5,reference,158.0
319,5,learned_model,158.0
319,6,reference,102.0
319,6,learned_model,108.0
319,7,reference,182.0
319,7,learned_model,184.0
319,8,reference,80.0
319,8,learned_model,82.0
319,9,reference,68.0
319,9,learned_model,71.0
319,10,reference,95.0
319,10,learned_model,95.0
319,11,reference,207.0
319,11,learned_model,208.0
319,12,reference,140.0
319,12,learned_model,142.0
319,13,reference,232.0
319,13,learned_model,232.0
319,14,reference,262.0
319,14,learned_model,269.0
319,15,reference,86.0
319,15,learned_model,86.0
319,16,reference,70.0
319,16,learned_model,70.0
319,17,reference,184.0
319,17,learned_model,184.0
319,18,reference,185.0
319,18,learned_model,185.0
319,19,reference,103.0
319,19,learned_model,105.0
330,0,reference,113.0
