seed,algorithm,noise_level,real_steps,planning_updates,greedy_return,optimal_return,policy_loss
11,Dyna-Q,0.35,4900,24500,2.9187845178347893,6.263607903500317,3.3448233856655274
11,Dyna-Q,0.35,5000,25000,6.211806779627448,6.263607903500317,0.051801123872868615
22,Q-learning,0.0,0,0,-2.0000000000000013,6.263607903500317,8.263607903500318
22,Q-learning,0.0,100,0,-1.743790815320694,6.263607903500317,8.00739871882101
22,Q-learning,0.0,200,0,-1.9775383441346839,6.263607903500317,8.241146247635001
22,Q-learning,0.0,300,0,-0.48972344455428196,6.263607903500317,6.753331348054599
22,Q-learning,0.0,400,0,5.368130155653949,6.263607903500317,0.8954777478463676
22,Q-learning,0.0,500,0,5.966433040388289,6.263607903500317,0.2971748631120281
22,Q-learning,0.0,600,0,5.97873827709419,6.263607903500317,0.28486962640612656
22,Q-learning,0.0,700,0,5.97873827709419,6.263607903500317,0.28486962640612656
22,Q-learning,0.0,800,0,6.182263863024617,6.263607903500317,0.08134404047569976
22,Q-learning,0.0,900,0,6.182263863024617,6.263607903500317,0.08134404047569976
22,Q-learning,0.0,1000,0,6.182263863024617,6.263607903500317,0.08134404047569976
22,Q-learning,0.0,1100,0,6.182263863024617,6.263607903500317,0.08134404047569976
22,Q-learning,0.0,1200,0,6.182263863024617,6.263607903500317,0.08134404047569976
22,Q-learning,0.0,1300,0,6.182263863024617,6.263607903500317,0.08134404047569976
22,Q-learning,0.0,1400,0,6.182263863024617,6.263607903500317,0.08134404047569976
22,Q-learning,0.0,1500,0,6.182263863024617,6.263607903500317,0.08134404047569976
22,Q-learning,0.0,1600,0,6.182263863024617,6.263607903500317,0.08134404047569976
22,Q-learning,0.0,1700,0,6.182263863024617,6.263607903500317,0.08134404047569976
22,Q-learning,0.0,1800,0,6.182263863024617,6.263607903500317,0.08134404047569976
22,Q-learning,0.0,1900,0,6.182263863024617,6.263607903500317,0.08134404047569976
22,Q-learning,0.0,2000,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,2100,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,2200,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,2300,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,2400,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,2500,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,2600,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,2700,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,2800,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,2900,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,3000,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,3100,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,3200,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,3300,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,3400,0,3.165305096263334,6.263607903500317,3.098302807236983
22,Q-learning,0.0,3500,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,3600,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,3700,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,3800,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,3900,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,4000,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,4100,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,4200,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,4300,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,4400,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,4500,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,4600,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,4700,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,4800,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,4900,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Q-learning,0.0,5000,0,6.182545699866968,6.263607903500317,0.0810622036333486
22,Dyna-Q,0.0,0,0,-2.0000000000000013,6.263607903500317,8.263607903500318
22,Dyna-Q,0.0,100,500,1.5948111087246937,6.263607903500317,4.6687967947756235
22,Dyna-Q,0.0,200,1000,5.175107014712153,6.263607903500317,1.0885008887881638
22,Dyna-Q,0.0,300,1500,5.341050931251803,6.263607903500317,0.9225569722485139
22,Dyna-Q,0.0,400,2000,5.401740673592777,6.263607903500317,0.8618672299075394
22,Dyna-Q,0.0,500,2500,5.413083949448811,6.263607903500317,0.8505239540515053
22,Dyna-Q,0.0,600,3000,5.401802646912272,6.263607903500317,0.8618052565880445
22,Dyna-Q,0.0,700,3500,5.401802646912272,6.263607903500317,0.8618052565880445
22,Dyna-Q,0.0,800,4000,5.4120792356970835,6.263607903500317,0.8515286678032332
22,Dyna-Q,0.0,900,4500,5.401802646912272,6.263607903500317,0.8618052565880445
22,Dyna-Q,0.0,1000,5000,5.4120792356970835,6.263607903500317,0.8515286678032332
22,Dyna-Q,0.0,1100,5500,-1.4028999770106039,6.263607903500317,7.66650788051092
22,Dyna-Q,0.0,1200,6000,5.256472812856053,6.263607903500317,1.0071350906442635
22,Dyna-Q,0.0,1300,6500,5.413483971938511,6.263607903500317,0.8501239315618054
22,Dyna-Q,0.0,1400,7000,5.413483971938511,6.263607903500317,0.8501239315618054
22,Dyna-Q,0.0,1500,7500,5.40631182939846,6.263607903500317,0.8572960741018569
22,Dyna-Q,0.0,1600,8000,-1.7216654663781945,6.263607903500317,7.985273369878511
22,Dyna-Q,0.0,1700,8500,5.40631182939846,6.263607903500317,0.8572960741018569
22,Dyna-Q,0.0,1800,9000,2.4150601783628014,6.263607903500317,3.8485477251375153
22,Dyna-Q,0.0,1900,9500,5.4048746484391526,6.263607903500317,0.8587332550611642
22,Dyna-Q,0.0,2000,10000,5.4022467361446465,6.263607903500317,0.8613611673556703
22,Dyna-Q,0.0,2100,10500,2.5124449415023453,6.263607903500317,3.7511629619979714
22,Dyna-Q,0.0,2200,11000,5.0057828204206904,6.263607903500317,1.2578250830796263
22,Dyna-Q,0.0,2300,11500,5.007714274374417,6.263607903500317,1.2558936291258993
22,Dyna-Q,0.0,2400,12000,5.0077597630379165,6.263607903500317,1.2558481404624002
22,Dyna-Q,0.0,2500,12500,5.007714274374417,6.263607903500317,1.2558936291258993
22,Dyna-Q,0.0,2600,13000,2.0949400550746136,6.263607903500317,4.168667848425703
22,Dyna-Q,0.0,2700,13500,2.1529216883264497,6.263607903500317,4.1106862151738675
22,Dyna-Q,0.0,2800,14000,5.121206598245788,6.263607903500317,1.1424013052545288
22,Dyna-Q,0.0,2900,14500,5.12190141086523,6.263607903500317,1.1417064926350866
22,Dyna-Q,0.0,3000,15000,5.0057828204206904,6.263607903500317,1.2578250830796263
22,Dyna-Q,0.0,3100,15500,5.016228895790545,6.263607903500317,1.247379007709772
22,Dyna-Q,0.0,3200,16000,5.016228895790545,6.263607903500317,1.247379007709772
22,Dyna-Q,0.0,3300,16500,5.042607630911852,6.263607903500317,1.2210002725884648
22,Dyna-Q,0.0,3400,17000,-2.4418261950862554,6.263607903500317,8.705434098586572
22,Dyna-Q,0.0,3500,17500,5.059877367459527,6.263607903500317,1.2037305360407897
22,Dyna-Q,0.0,3600,18000,5.24536008788203,6.263607903500317,1.0182478156182864
22,Dyna-Q,0.0,3700,18500,5.152770308204276,6.263607903500317,1.110837595296041
22,Dyna-Q,0.0,3800,19000,5.607622944330945,6.263607903500317,0.6559849591693716
22,Dyna-Q,0.0,3900,19500,5.189585798215933,6.263607903500317,1.0740221052843841
22,Dyna-Q,0.0,4000,20000,3.4488707079754732,6.263607903500317,2.8147371955248435
22,Dyna-Q,0.0,4100,20500,3.245017292860767,6.263607903500317,3.0185906106395497
22,Dyna-Q,0.0,4200,21000,6.263607903500317,6.263607903500317,0.0
22,Dyna-Q,0.0,4300,21500,6.233980616524453,6.263607903500317,0.02962728697586403
22,Dyna-Q,0.0,4400,22000,6.22272458098214,6.263607903500317,0.04088332251817661
22,Dyna-Q,0.0,4500,22500,3.1534169303257595,6.263607903500317,3.110190973174557
22,Dyna-Q,0.0,4600,23000,5.943084001889441,6.263607903500317,0.3205239016108754
22,Dyna-Q,0.0,4700,23500,6.22272458098214,6.263607903500317,0.04088332251817661
22,Dyna-Q,0.0,4800,24000,6.22272458098214,6.263607903500317,0.04088332251817661
22,Dyna-Q,0.0,4900,24500,5.502331285814421,6.263607903500317,0.7612766176858958
