seed,epoch,n_transitions,mse
77,22,600,2.968946400391073e-06
77,23,600,2.721841202688474e-06
77,24,600,2.5493209740919776e-06
77,25,600,2.3038075297383908e-06
77,26,600,2.180370281142754e-06
77,27,600,2.079061438938592e-06
77,28,600,1.9225023935943778e-06
77,29,600,1.829948514329628e-06
77,30,600,1.7642609799096185e-06
77,31,600,1.6629681376319863e-06
77,32,600,1.5917372545453346e-06
77,33,600,1.5199148627313039e-06
77,34,600,1.4308141942365184e-06
77,35,600,1.361710714993598e-06
77,36,600,1.319895285465272e-06
77,37,600,1.2776971603120488e-06
77,38,600,1.2312661085975138e-06
77,39,600,1.1543335015056456e-06
77,40,600,1.1148183632844607e-06
77,41,600,1.140545542679511e-06
77,42,600,1.0515693268668033e-06
77,43,600,9.938083873126553e-07
77,44,600,9.513424758049376e-07
77,45,600,9.210006800530161e-07
77,46,600,8.703703982566943e-07
77,47,600,8.420964969732986e-07
77,48,600,7.963596664539133e-07
77,49,600,7.77184006713134e-07
77,50,600,7.819063839813106e-07
77,51,600,7.698959647864525e-07
77,52,600,7.406123043402229e-07
77,53,600,7.152439183612027e-07
77,54,600,6.957379439068304e-07
77,55,600,6.736829397213065e-07
77,56,600,6.32087467597318e-07
77,57,600,6.154232443422141e-07
77,58,600,5.933208022294198e-07
77,59,600,5.864024293606763e-07
77,60,600,5.749670591333261e-07
77,61,600,5.559904366236879e-07
77,62,600,5.407591082099602e-07
77,63,600,5.109746644237882e-07
77,64,600,4.890383302991769e-07
77,65,600,4.623125580325762e-07
77,66,600,4.657981964771209e-07
77,67,600,4.7604365563888444e-07
77,68,600,4.6186126167556627e-07
77,69,600,4.42013451992065e-07
77,70,600,4.1405349922965077e-07
77,71,600,4.088289256886032e-07
77,72,600,3.9459493016717093e-07
77,73,600,3.9608921552694725e-07
77,74,600,3.818009255652262e-07
77,75,600,3.745365962446924e-07
77,76,600,3.7510638001573456e-07
77,77,600,3.5522281170810134e-07
77,78,600,3.699345465466458e-07
77,79,600,3.5499009362937565e-07
77,80,600,3.266012717068933e-07
